Ingredient,Meal,Location,Lat,Long
Eggplant,Eggplant Dip,New Jersey,40.058324,-74.405661
Sour Cream,Eggplant Dip,Mississauga,43.589045,-79.64412
Dried Mint,Eggplant Dip,Richmond Hill,43.8828,79.4403
Pomegranate Paste,Eggplant Dip,Maharashtra,19.75148,75.713888
Walnuts,Eggplant Dip,California,36.778261,-119.417932
Onions,Eggplant Dip,Holland Marsh,44.05598,-79.559576
Salt,Eggplant Dip,Windsor,42.314937,-83.036363
Canola Oil,Eggplant Dip,Memphis,35.149534,-90.04898
Eggs,Egg Salad,Lyn,44.5773,75.7841
Bread,Egg Salad,Toronto,43.653226,-79.383184
Mayo,Egg Salad,Rexdale,43.728134,-79.574612
Red Peppers,Egg Salad,Mexico,23.634501,-102.552784
Salt,Egg Salad,Windsor,42.314937,-83.036363
Pepper,Penne a la Vodka,Vietnam,14.058324,108.277199
Penne,Penne a la Vodka,Brampton,43.731548,-79.762418
Bacon,Penne a la Vodka,Hamilton,43.2557,79.8711
Cream,Penne a la Vodka,Quebec,46.813878,-71.207981
Garlic,Penne a la Vodka,China,35.86166,104.195397
Onions,Penne a la Vodka,Holland Marsh,44.05598,-79.559576
Lettuce,Penne a la Vodka,California,36.778261,-119.417932
Rice Wine Vinegar,Penne a la Vodka,Japan,36.204824,138.252924
Olive Oil,Penne a la Vodka,Italy,41.87194,12.56738
Salt,Penne a la Vodka,Windsor,42.314937,-83.036363
Pepper,Penne a la Vodka,Vietnam,14.058324,108.277199
Roti,Misc,Brampton,43.731548,-79.762418
Sangria Tea,Misc,Germany,51.165691,10.451526